feature1,feature2,spearman_r,p_value
AL_191,AL_203,0.9689,0.0
AL_188,AL_212,0.9689,0.0
AL_188,AL_233,0.9689,0.0
AL_260,AL_284,0.9689,0.0
AL_188,AL_236,0.9689,0.0
AL_203,AL_208,0.9689,0.0
AL_190,AL_284,0.9689,0.0
AL_188,AL_248,0.9689,0.0
AL_256,AL_266,0.9689,0.0
AL_256,AL_262,0.9689,0.0
AL_256,AL_260,0.9689,0.0
AL_263,AL_279,0.9689,0.0
AL_255,AL_292,0.9689,0.0
AL_190,AL_236,0.9689,0.0
AL_255,AL_284,0.9689,0.0
AL_190,AL_233,0.9689,0.0
AL_255,AL_280,0.9689,0.0
AL_190,AL_231,0.9689,0.0
AL_190,AL_220,0.9689,0.0
AL_188,AL_292,0.9689,0.0
AL_190,AL_212,0.9689,0.0
AL_255,AL_276,0.9689,0.0
AL_190,AL_191,0.9689,0.0
AL_190,AL_208,0.9689,0.0
AL_190,AL_195,0.9689,0.0
AL_203,AL_220,0.9689,0.0
AL_190,AL_197,0.9689,0.0
AL_190,AL_244,0.9689,0.0
AL_188,AL_284,0.9689,0.0
AL_190,AL_248,0.9689,0.0
AL_188,AL_263,0.9689,0.0
AL_256,AL_291,0.9689,0.0
AL_190,AL_280,0.9689,0.0
AL_256,AL_283,0.9689,0.0
AL_203,AL_212,0.9689,0.0
AL_190,AL_276,0.9689,0.0
AL_188,AL_256,0.9689,0.0
AL_256,AL_279,0.9689,0.0
AL_203,AL_244,0.9689,0.0
AL_190,AL_272,0.9689,0.0
AL_203,AL_231,0.9689,0.0
AL_188,AL_272,0.9689,0.0
AL_188,AL_276,0.9689,0.0
AL_256,AL_271,0.9689,0.0
AL_203,AL_236,0.9689,0.0
AL_190,AL_263,0.9689,0.0
AL_188,AL_280,0.9689,0.0
AL_203,AL_233,0.9689,0.0
AL_190,AL_256,0.9689,0.0
AL_203,AL_248,0.9689,0.0
AL_191,AL_271,0.9689,0.0
AL_199,AL_276,0.9689,0.0
AL_279,AL_284,0.9689,0.0
AL_195,AL_283,0.9689,0.0
AL_283,AL_284,0.9689,0.0
AL_194,AL_248,0.9689,0.0
AL_194,AL_244,0.9689,0.0
AL_195,AL_291,0.9689,0.0
AL_280,AL_291,0.9689,0.0
AL_197,AL_199,0.9689,0.0
AL_280,AL_283,0.9689,0.0
AL_197,AL_203,0.9689,0.0
AL_279,AL_292,0.9689,0.0
AL_197,AL_207,0.9689,0.0
AL_197,AL_211,0.9689,0.0
AL_191,AL_235,0.9689,0.0
AL_279,AL_280,0.9689,0.0
AL_197,AL_219,0.9689,0.0
AL_276,AL_291,0.9689,0.0
AL_197,AL_224,0.9689,0.0
AL_197,AL_226,0.9689,0.0
AL_276,AL_283,0.9689,0.0
AL_197,AL_230,0.9689,0.0
AL_276,AL_279,0.9689,0.0
AL_272,AL_291,0.9689,0.0
AL_197,AL_235,0.9689,0.0
AL_272,AL_283,0.9689,0.0
AL_195,AL_279,0.9689,0.0
AL_194,AL_256,0.9689,0.0
AL_283,AL_292,0.9689,0.0
AL_195,AL_271,0.9689,0.0
AL_195,AL_203,0.9689,0.0
AL_194,AL_292,0.9689,0.0
AL_194,AL_284,0.9689,0.0
AL_194,AL_280,0.9689,0.0
AL_194,AL_276,0.9689,0.0
AL_194,AL_272,0.9689,0.0
AL_195,AL_207,0.9689,0.0
AL_195,AL_211,0.9689,0.0
AL_195,AL_219,0.9689,0.0
AL_195,AL_224,0.9689,0.0
AL_195,AL_226,0.9689,0.0
AL_195,AL_230,0.9689,0.0
AL_195,AL_235,0.9689,0.0
AL_195,AL_239,0.9689,0.0
AL_195,AL_243,0.9689,0.0
AL_195,AL_247,0.9689,0.0
AL_194,AL_263,0.9689,0.0
AL_195,AL_255,0.9689,0.0
AL_291,AL_292,0.9689,0.0
AL_195,AL_260,0.9689,0.0
AL_195,AL_262,0.9689,0.0
AL_195,AL_266,0.9689,0.0
AL_284,AL_291,0.9689,0.0
AL_197,AL_239,0.9689,0.0
AL_272,AL_279,0.9689,0.0
AL_197,AL_243,0.9689,0.0
AL_199,AL_212,0.9689,0.0
AL_188,AL_197,0.9689,0.0
AL_266,AL_292,0.9689,0.0
AL_199,AL_231,0.9689,0.0
AL_199,AL_233,0.9689,0.0
AL_191,AL_266,0.9689,0.0
AL_199,AL_236,0.9689,0.0
AL_266,AL_284,0.9689,0.0
AL_191,AL_262,0.9689,0.0
AL_191,AL_260,0.9689,0.0
AL_199,AL_244,0.9689,0.0
AL_266,AL_280,0.9689,0.0
AL_199,AL_248,0.9689,0.0
AL_191,AL_255,0.9689,0.0
AL_266,AL_276,0.9689,0.0
AL_199,AL_256,0.9689,0.0
AL_191,AL_247,0.9689,0.0
AL_266,AL_272,0.9689,0.0
AL_199,AL_263,0.9689,0.0
AL_191,AL_243,0.9689,0.0
AL_263,AL_291,0.9689,0.0
AL_191,AL_239,0.9689,0.0
AL_263,AL_283,0.9689,0.0
AL_199,AL_272,0.9689,0.0
AL_199,AL_220,0.9689,0.0
AL_191,AL_279,0.9689,0.0
AL_271,AL_292,0.9689,0.0
AL_199,AL_208,0.9689,0.0
AL_197,AL_247,0.9689,0.0
AL_271,AL_284,0.9689,0.0
AL_194,AL_236,0.9689,0.0
AL_197,AL_255,0.9689,0.0
AL_271,AL_280,0.9689,0.0
AL_197,AL_260,0.9689,0.0
AL_194,AL_233,0.9689,0.0
AL_194,AL_231,0.9689,0.0
AL_194,AL_220,0.9689,0.0
AL_194,AL_212,0.9689,0.0
AL_194,AL_208,0.9689,0.0
AL_197,AL_262,0.9689,0.0
AL_271,AL_276,0.9689,0.0
AL_197,AL_266,0.9689,0.0
AL_271,AL_272,0.9689,0.0
AL_197,AL_271,0.9689,0.0
AL_194,AL_197,0.9689,0.0
AL_197,AL_279,0.9689,0.0
AL_197,AL_283,0.9689,0.0
AL_194,AL_195,0.9689,0.0
AL_197,AL_291,0.9689,0.0
AL_191,AL_291,0.9689,0.0
AL_191,AL_283,0.9689,0.0
AL_203,AL_272,0.9689,0.0
AL_224,AL_244,0.9689,0.0
AL_203,AL_276,0.9689,0.0
AL_231,AL_271,0.9689,0.0
AL_212,AL_239,0.9689,0.0
AL_231,AL_266,0.9689,0.0
AL_212,AL_243,0.9689,0.0
AL_231,AL_262,0.9689,0.0
AL_212,AL_247,0.9689,0.0
AL_231,AL_260,0.9689,0.0
AL_231,AL_255,0.9689,0.0
AL_212,AL_255,0.9689,0.0
AL_231,AL_247,0.9689,0.0
AL_212,AL_260,0.9689,0.0
AL_212,AL_262,0.9689,0.0
AL_231,AL_243,0.9689,0.0
AL_212,AL_266,0.9689,0.0
AL_231,AL_239,0.9689,0.0
AL_212,AL_271,0.9689,0.0
AL_231,AL_235,0.9689,0.0
AL_230,AL_292,0.9689,0.0
AL_212,AL_279,0.9689,0.0
AL_230,AL_284,0.9689,0.0
AL_212,AL_283,0.9689,0.0
AL_230,AL_280,0.9689,0.0
AL_230,AL_276,0.9689,0.0
AL_212,AL_291,0.9689,0.0
AL_230,AL_272,0.9689,0.0
AL_219,AL_220,0.9689,0.0
AL_212,AL_235,0.9689,0.0
AL_212,AL_230,0.9689,0.0
AL_211,AL_233,0.9689,0.0
AL_212,AL_226,0.9689,0.0
AL_233,AL_283,0.9689,0.0
AL_188,AL_195,0.9689,0.0
AL_211,AL_244,0.9689,0.0
AL_233,AL_271,0.9689,0.0
AL_211,AL_248,0.9689,0.0
AL_211,AL_256,0.9689,0.0
AL_233,AL_266,0.9689,0.0
AL_233,AL_262,0.9689,0.0
AL_211,AL_263,0.9689,0.0
AL_233,AL_260,0.9689,0.0
AL_233,AL_255,0.9689,0.0
AL_233,AL_247,0.9689,0.0
AL_233,AL_243,0.9689,0.0
AL_211,AL_272,0.9689,0.0
AL_211,AL_276,0.9689,0.0
AL_233,AL_239,0.9689,0.0
AL_211,AL_280,0.9689,0.0
AL_233,AL_235,0.9689,0.0
AL_211,AL_284,0.9689,0.0
AL_231,AL_291,0.9689,0.0
AL_231,AL_283,0.9689,0.0
AL_211,AL_292,0.9689,0.0
AL_212,AL_219,0.9689,0.0
AL_231,AL_279,0.9689,0.0
AL_212,AL_224,0.9689,0.0
AL_230,AL_263,0.9689,0.0
AL_219,AL_231,0.9689,0.0
AL_219,AL_233,0.9689,0.0
AL_219,AL_236,0.9689,0.0
AL_226,AL_272,0.9689,0.0
AL_220,AL_260,0.9689,0.0
AL_220,AL_262,0.9689,0.0
AL_226,AL_263,0.9689,0.0
AL_220,AL_266,0.9689,0.0
AL_226,AL_256,0.9689,0.0
AL_226,AL_248,0.9689,0.0
AL_220,AL_271,0.9689,0.0
AL_226,AL_244,0.9689,0.0
AL_226,AL_236,0.9689,0.0
AL_226,AL_233,0.9689,0.0
AL_220,AL_279,0.9689,0.0
AL_226,AL_231,0.9689,0.0
AL_220,AL_283,0.9689,0.0
AL_224,AL_292,0.9689,0.0
AL_224,AL_284,0.9689,0.0
AL_224,AL_280,0.9689,0.0
AL_220,AL_291,0.9689,0.0
AL_224,AL_276,0.9689,0.0
AL_224,AL_272,0.9689,0.0
AL_224,AL_263,0.9689,0.0
AL_224,AL_256,0.9689,0.0
AL_224,AL_231,0.9689,0.0
AL_224,AL_233,0.9689,0.0
AL_224,AL_248,0.9689,0.0
AL_220,AL_255,0.9689,0.0
AL_226,AL_276,0.9689,0.0
AL_226,AL_280,0.9689,0.0
AL_219,AL_276,0.9689,0.0
AL_230,AL_256,0.9689,0.0
AL_219,AL_244,0.9689,0.0
AL_230,AL_248,0.9689,0.0
AL_219,AL_248,0.9689,0.0
AL_230,AL_244,0.9689,0.0
AL_230,AL_236,0.9689,0.0
AL_219,AL_256,0.9689,0.0
AL_230,AL_233,0.9689,0.0
AL_230,AL_231,0.9689,0.0
AL_219,AL_263,0.9689,0.0
AL_219,AL_272,0.9689,0.0
AL_219,AL_280,0.9689,0.0
AL_226,AL_284,0.9689,0.0
AL_219,AL_284,0.9689,0.0
AL_219,AL_292,0.9689,0.0
AL_220,AL_224,0.9689,0.0
AL_220,AL_226,0.9689,0.0
AL_220,AL_230,0.9689,0.0
AL_195,AL_199,0.9689,0.0
AL_220,AL_235,0.9689,0.0
AL_220,AL_239,0.9689,0.0
AL_220,AL_243,0.9689,0.0
AL_226,AL_292,0.9689,0.0
AL_220,AL_247,0.9689,0.0
AL_211,AL_236,0.9689,0.0
AL_233,AL_279,0.9689,0.0
AL_211,AL_231,0.9689,0.0
AL_239,AL_276,0.9689,0.0
AL_244,AL_262,0.9689,0.0
AL_244,AL_260,0.9689,0.0
AL_244,AL_255,0.9689,0.0
AL_244,AL_247,0.9689,0.0
AL_243,AL_292,0.9689,0.0
AL_243,AL_284,0.9689,0.0
AL_243,AL_280,0.9689,0.0
AL_243,AL_276,0.9689,0.0
AL_243,AL_272,0.9689,0.0
AL_207,AL_208,0.9689,0.0
AL_243,AL_263,0.9689,0.0
AL_207,AL_212,0.9689,0.0
AL_243,AL_256,0.9689,0.0
AL_207,AL_220,0.9689,0.0
AL_243,AL_248,0.9689,0.0
AL_243,AL_244,0.9689,0.0
AL_207,AL_231,0.9689,0.0
AL_207,AL_233,0.9689,0.0
AL_207,AL_236,0.9689,0.0
AL_207,AL_244,0.9689,0.0
AL_207,AL_248,0.9689,0.0
AL_207,AL_256,0.9689,0.0
AL_239,AL_292,0.9689,0.0
AL_233,AL_291,0.9689,0.0
AL_239,AL_284,0.9689,0.0
AL_244,AL_266,0.9689,0.0
AL_244,AL_271,0.9689,0.0
AL_244,AL_279,0.9689,0.0
AL_248,AL_266,0.9689,0.0
AL_203,AL_280,0.9689,0.0
AL_188,AL_191,0.9689,0.0
AL_203,AL_284,0.9689,0.0
AL_203,AL_292,0.9689,0.0
AL_255,AL_272,0.9689,0.0
AL_255,AL_263,0.9689,0.0
AL_255,AL_256,0.9689,0.0
AL_248,AL_291,0.9689,0.0
AL_248,AL_283,0.9689,0.0
AL_248,AL_279,0.9689,0.0
AL_248,AL_271,0.9689,0.0
AL_248,AL_262,0.9689,0.0
AL_244,AL_283,0.9689,0.0
AL_248,AL_260,0.9689,0.0
AL_248,AL_255,0.9689,0.0
AL_247,AL_292,0.9689,0.0
AL_247,AL_284,0.9689,0.0
AL_224,AL_236,0.9689,0.0
AL_247,AL_276,0.9689,0.0
AL_247,AL_272,0.9689,0.0
AL_247,AL_263,0.9689,0.0
AL_247,AL_256,0.9689,0.0
AL_247,AL_248,0.9689,0.0
AL_244,AL_291,0.9689,0.0
AL_239,AL_280,0.9689,0.0
AL_207,AL_263,0.9689,0.0
AL_239,AL_272,0.9689,0.0
AL_208,AL_271,0.9689,0.0
AL_236,AL_260,0.9689,0.0
AL_208,AL_247,0.9689,0.0
AL_236,AL_255,0.9689,0.0
AL_236,AL_247,0.9689,0.0
AL_236,AL_243,0.9689,0.0
AL_208,AL_255,0.9689,0.0
AL_208,AL_260,0.9689,0.0
AL_208,AL_262,0.9689,0.0
AL_236,AL_239,0.9689,0.0
AL_208,AL_266,0.9689,0.0
AL_235,AL_292,0.9689,0.0
AL_235,AL_284,0.9689,0.0
AL_235,AL_280,0.9689,0.0
AL_207,AL_272,0.9689,0.0
AL_235,AL_276,0.9689,0.0
AL_235,AL_272,0.9689,0.0
AL_208,AL_279,0.9689,0.0
AL_208,AL_283,0.9689,0.0
AL_235,AL_263,0.9689,0.0
AL_208,AL_291,0.9689,0.0
AL_235,AL_256,0.9689,0.0
AL_211,AL_212,0.9689,0.0
AL_235,AL_248,0.9689,0.0
AL_211,AL_220,0.9689,0.0
AL_235,AL_244,0.9689,0.0
AL_235,AL_236,0.9689,0.0
AL_208,AL_243,0.9689,0.0
AL_247,AL_280,0.9689,0.0
AL_208,AL_224,0.9689,0.0
AL_208,AL_226,0.9689,0.0
AL_207,AL_292,0.9689,0.0
AL_208,AL_211,0.9689,0.0
AL_236,AL_283,0.9689,0.0
AL_236,AL_262,0.9689,0.0
AL_208,AL_219,0.9689,0.0
AL_239,AL_248,0.9689,0.0
AL_236,AL_279,0.9689,0.0
AL_207,AL_284,0.9689,0.0
AL_236,AL_271,0.9689,0.0
AL_239,AL_244,0.9689,0.0
AL_208,AL_230,0.9689,0.0
AL_207,AL_280,0.9689,0.0
AL_208,AL_235,0.9689,0.0
AL_236,AL_266,0.9689,0.0
AL_208,AL_239,0.9689,0.0
AL_239,AL_256,0.9689,0.0
AL_207,AL_276,0.9689,0.0
AL_239,AL_263,0.9689,0.0
AL_236,AL_291,0.9689,0.0
AL_190,AL_204,0.9686,0.0
AL_190,AL_267,0.9686,0.0
AL_190,AL_269,0.9686,0.0
AL_194,AL_240,0.9686,0.0
AL_194,AL_269,0.9686,0.0
AL_190,AL_240,0.9686,0.0
AL_194,AL_227,0.9686,0.0
AL_194,AL_204,0.9686,0.0
AL_190,AL_200,0.9686,0.0
AL_194,AL_200,0.9686,0.0
AL_194,AL_267,0.9686,0.0
AL_190,AL_227,0.9686,0.0
AL_230,AL_240,0.9686,0.0
AL_200,AL_262,0.9686,0.0
AL_204,AL_230,0.9686,0.0
AL_262,AL_267,0.9686,0.0
AL_227,AL_230,0.9686,0.0
AL_262,AL_269,0.9686,0.0
AL_240,AL_262,0.9686,0.0
AL_200,AL_230,0.9686,0.0
AL_227,AL_262,0.9686,0.0
AL_204,AL_262,0.9686,0.0
AL_230,AL_269,0.9686,0.0
AL_230,AL_267,0.9686,0.0
AL_226,AL_240,0.9685,0.0
AL_227,AL_266,0.9685,0.0
AL_240,AL_266,0.9685,0.0
AL_227,AL_239,0.9685,0.0
AL_200,AL_226,0.9685,0.0
AL_204,AL_239,0.9685,0.0
AL_226,AL_267,0.9685,0.0
AL_200,AL_266,0.9685,0.0
AL_226,AL_227,0.9685,0.0
AL_204,AL_226,0.9685,0.0
AL_200,AL_239,0.9685,0.0
AL_204,AL_266,0.9685,0.0
AL_239,AL_240,0.9685,0.0
AL_239,AL_267,0.9685,0.0
AL_239,AL_269,0.9685,0.0
AL_266,AL_269,0.9685,0.0
AL_226,AL_269,0.9685,0.0
AL_266,AL_267,0.9685,0.0
AL_269,AL_279,0.9684,0.0
AL_240,AL_279,0.9684,0.0
AL_227,AL_279,0.9684,0.0
AL_267,AL_279,0.9684,0.0
AL_200,AL_279,0.9684,0.0
AL_204,AL_279,0.9684,0.0
AL_233,AL_275,0.9683,0.0
AL_200,AL_207,0.9683,0.0
AL_263,AL_275,0.9683,0.0
AL_244,AL_275,0.9683,0.0
AL_191,AL_275,0.9683,0.0
AL_231,AL_275,0.9683,0.0
AL_197,AL_275,0.9683,0.0
AL_256,AL_275,0.9683,0.0
AL_248,AL_275,0.9683,0.0
AL_275,AL_276,0.9683,0.0
AL_207,AL_227,0.9683,0.0
AL_207,AL_269,0.9683,0.0
AL_204,AL_219,0.9683,0.0
AL_212,AL_275,0.9683,0.0
AL_219,AL_227,0.9683,0.0
AL_208,AL_275,0.9683,0.0
AL_219,AL_240,0.9683,0.0
AL_219,AL_267,0.9683,0.0
AL_219,AL_269,0.9683,0.0
AL_220,AL_275,0.9683,0.0
AL_200,AL_219,0.9683,0.0
AL_204,AL_207,0.9683,0.0
AL_207,AL_267,0.9683,0.0
AL_195,AL_275,0.9683,0.0
AL_207,AL_240,0.9683,0.0
AL_275,AL_292,0.9683,0.0
AL_275,AL_284,0.9683,0.0
AL_275,AL_280,0.9683,0.0
AL_272,AL_275,0.9683,0.0
AL_236,AL_275,0.9683,0.0
AL_240,AL_255,0.9681,0.0
AL_204,AL_224,0.9681,0.0
AL_204,AL_255,0.9681,0.0
AL_200,AL_224,0.9681,0.0
AL_200,AL_255,0.9681,0.0
AL_224,AL_240,0.9681,0.0
AL_227,AL_255,0.9681,0.0
AL_255,AL_269,0.9681,0.0
AL_255,AL_267,0.9681,0.0
AL_224,AL_227,0.9681,0.0
AL_224,AL_267,0.9681,0.0
AL_224,AL_269,0.9681,0.0
AL_227,AL_235,0.968,0.0
AL_204,AL_235,0.968,0.0
AL_227,AL_247,0.968,0.0
AL_200,AL_260,0.968,0.0
AL_227,AL_243,0.968,0.0
AL_247,AL_267,0.968,0.0
AL_204,AL_260,0.968,0.0
AL_235,AL_269,0.968,0.0
AL_200,AL_235,0.968,0.0
AL_200,AL_243,0.968,0.0
AL_243,AL_267,0.968,0.0
AL_200,AL_247,0.968,0.0
AL_243,AL_269,0.968,0.0
AL_240,AL_260,0.968,0.0
AL_227,AL_260,0.968,0.0
AL_204,AL_247,0.968,0.0
AL_235,AL_240,0.968,0.0
AL_199,AL_200,0.968,0.0
AL_235,AL_267,0.968,0.0
AL_260,AL_269,0.968,0.0
AL_199,AL_204,0.968,0.0
AL_260,AL_267,0.968,0.0
AL_204,AL_243,0.968,0.0
AL_247,AL_269,0.968,0.0
AL_199,AL_227,0.968,0.0
AL_199,AL_240,0.968,0.0
AL_199,AL_269,0.968,0.0
AL_199,AL_267,0.968,0.0
AL_240,AL_247,0.968,0.0
AL_240,AL_243,0.968,0.0
AL_203,AL_204,0.9679,0.0
AL_203,AL_227,0.9679,0.0
AL_200,AL_283,0.9679,0.0
AL_203,AL_267,0.9679,0.0
AL_200,AL_271,0.9679,0.0
AL_203,AL_240,0.9679,0.0
AL_203,AL_269,0.9679,0.0
AL_267,AL_271,0.9679,0.0
AL_269,AL_283,0.9679,0.0
AL_269,AL_271,0.9679,0.0
AL_227,AL_271,0.9679,0.0
AL_227,AL_283,0.9679,0.0
AL_227,AL_291,0.9679,0.0
AL_269,AL_291,0.9679,0.0
AL_204,AL_291,0.9679,0.0
AL_240,AL_291,0.9679,0.0
AL_200,AL_291,0.9679,0.0
AL_204,AL_283,0.9679,0.0
AL_267,AL_291,0.9679,0.0
AL_204,AL_271,0.9679,0.0
AL_267,AL_283,0.9679,0.0
AL_200,AL_203,0.9679,0.0
AL_240,AL_271,0.9679,0.0
AL_240,AL_283,0.9679,0.0
AL_211,AL_269,0.9678,0.0
AL_211,AL_267,0.9678,0.0
AL_211,AL_227,0.9678,0.0
AL_204,AL_211,0.9678,0.0
AL_211,AL_240,0.9678,0.0
AL_200,AL_211,0.9678,0.0
AL_188,AL_204,0.9677,0.0
AL_188,AL_240,0.9677,0.0
AL_188,AL_200,0.9677,0.0
AL_188,AL_227,0.9677,0.0
AL_188,AL_267,0.9677,0.0
AL_188,AL_269,0.9677,0.0
AL_47,AL_62,0.9659,0.0
AL_80,AL_95,0.963,0.0
AL_252,AL_272,0.9623,0.0
AL_233,AL_252,0.9623,0.0
AL_252,AL_276,0.9623,0.0
AL_191,AL_252,0.9623,0.0
AL_236,AL_252,0.9623,0.0
AL_252,AL_284,0.9623,0.0
AL_252,AL_263,0.9623,0.0
AL_252,AL_256,0.9623,0.0
AL_244,AL_252,0.9623,0.0
AL_231,AL_252,0.9623,0.0
AL_252,AL_280,0.9623,0.0
AL_248,AL_252,0.9623,0.0
AL_212,AL_252,0.9623,0.0
AL_197,AL_252,0.9623,0.0
AL_208,AL_252,0.9623,0.0
AL_252,AL_292,0.9623,0.0
AL_195,AL_252,0.9623,0.0
AL_220,AL_252,0.9623,0.0
AL_252,AL_269,0.9615,0.0
AL_200,AL_252,0.9615,0.0
AL_252,AL_267,0.9615,0.0
AL_240,AL_252,0.9615,0.0
AL_204,AL_252,0.9615,0.0
AL_227,AL_252,0.9615,0.0
AL_80,AL_91,0.9561,0.0
AL_80,AL_94,0.9561,0.0
AL_80,AL_97,0.9561,0.0
AL_80,AL_88,0.9561,0.0
AL_80,AL_85,0.9561,0.0
AL_80,AL_82,0.9561,0.0
AL_79,AL_80,0.9561,0.0
AL_76,AL_80,0.9561,0.0
AL_227,AL_288,0.9535,0.0
AL_267,AL_288,0.9535,0.0
AL_240,AL_288,0.9535,0.0
AL_204,AL_288,0.9535,0.0
AL_269,AL_288,0.9535,0.0
AL_200,AL_288,0.9535,0.0
AL_244,AL_288,0.9528,0.0
AL_288,AL_292,0.9528,0.0
AL_236,AL_288,0.9528,0.0
AL_233,AL_288,0.9528,0.0
AL_231,AL_288,0.9528,0.0
AL_191,AL_288,0.9528,0.0
AL_197,AL_288,0.9528,0.0
AL_272,AL_288,0.9528,0.0
AL_276,AL_288,0.9528,0.0
AL_248,AL_288,0.9528,0.0
AL_195,AL_288,0.9528,0.0
AL_280,AL_288,0.9528,0.0
AL_284,AL_288,0.9528,0.0
AL_263,AL_288,0.9528,0.0
AL_208,AL_288,0.9528,0.0
AL_220,AL_288,0.9528,0.0
AL_212,AL_288,0.9528,0.0
AL_256,AL_288,0.9528,0.0
AL_188,AL_260,0.9516,0.0
AL_226,AL_262,0.9496,0.0
AL_230,AL_266,0.9495,0.0
AL_219,AL_291,0.9494,0.0
AL_190,AL_226,0.9493,0.0
AL_194,AL_266,0.9488,0.0
AL_188,AL_226,0.9487,0.0
AL_224,AL_247,0.9485,0.0
AL_224,AL_260,0.9484,0.0
AL_16,AL_19,0.9483,0.0
AL_188,AL_262,0.9482,0.0
AL_16,AL_17,0.9481,0.0
AL_199,AL_224,0.9481,0.0
AL_199,AL_271,0.9479,0.0
AL_188,AL_243,0.9479,0.0
AL_247,AL_260,0.9478,0.0
AL_190,AL_247,0.9477,0.0
AL_219,AL_260,0.9477,0.0
AL_194,AL_230,0.9475,0.0
AL_199,AL_283,0.9475,0.0
AL_224,AL_230,0.9474,0.0
AL_19,AL_24,0.9474,0.0
AL_199,AL_247,0.9473,0.0
AL_252,AL_288,0.9473,0.0
AL_190,AL_224,0.9473,0.0
AL_243,AL_283,0.9472,0.0
AL_260,AL_262,0.9472,0.0
AL_211,AL_260,0.9471,0.0
AL_211,AL_283,0.9471,0.0
AL_260,AL_266,0.9469,0.0
AL_16,AL_23,0.9468,0.0
AL_203,AL_239,0.9467,0.0
AL_247,AL_283,0.9467,0.0
AL_262,AL_266,0.9467,0.0
AL_260,AL_279,0.9466,0.0
AL_199,AL_260,0.9466,0.0
AL_260,AL_283,0.9466,0.0
AL_224,AL_266,0.9465,0.0
AL_211,AL_266,0.9464,0.0
AL_188,AL_283,0.9463,0.0
AL_224,AL_255,0.9463,0.0
AL_224,AL_226,0.9461,0.0
AL_17,AL_19,0.9461,0.0
AL_211,AL_230,0.9461,0.0
AL_188,AL_266,0.9461,0.0
AL_224,AL_243,0.946,0.0
AL_226,AL_266,0.946,0.0
AL_207,AL_230,0.946,0.0
AL_255,AL_291,0.9459,0.0
AL_230,AL_283,0.9459,0.0
AL_188,AL_224,0.9459,0.0
AL_243,AL_247,0.9458,0.0
AL_211,AL_224,0.9458,0.0
AL_266,AL_283,0.9458,0.0
AL_247,AL_266,0.9458,0.0
AL_194,AL_211,0.9458,0.0
AL_260,AL_291,0.9458,0.0
AL_190,AL_211,0.9458,0.0
AL_188,AL_239,0.9458,0.0
AL_279,AL_291,0.9457,0.0
AL_219,AL_283,0.9456,0.0
AL_207,AL_219,0.9456,0.0
AL_194,AL_260,0.9456,0.0
AL_199,AL_235,0.9455,0.0
AL_199,AL_262,0.9455,0.0
AL_23,AL_24,0.9455,0.0
AL_188,AL_291,0.9455,0.0
AL_20,AL_22,0.9454,0.0
AL_235,AL_283,0.9454,0.0
AL_190,AL_239,0.9453,0.0
AL_211,AL_255,0.9453,0.0
AL_194,AL_224,0.9453,0.0
AL_194,AL_247,0.9453,0.0
AL_188,AL_199,0.9453,0.0
AL_199,AL_230,0.9453,0.0
AL_199,AL_219,0.9453,0.0
AL_224,AL_262,0.9452,0.0
AL_224,AL_239,0.9451,0.0
AL_16,AL_20,0.9451,0.0
AL_243,AL_262,0.9451,0.0
AL_224,AL_279,0.945,0.0
AL_207,AL_291,0.945,0.0
AL_219,AL_230,0.9449,0.0
AL_243,AL_266,0.9449,0.0
AL_188,AL_235,0.9449,0.0
AL_226,AL_271,0.9449,0.0
AL_207,AL_283,0.9448,0.0
AL_188,AL_194,0.9448,0.0
AL_247,AL_262,0.9448,0.0
AL_190,AL_262,0.9448,0.0
AL_260,AL_275,0.9447,0.0
AL_226,AL_230,0.9447,0.0
AL_20,AL_24,0.9447,0.0
AL_24,AL_25,0.9447,0.0
AL_207,AL_279,0.9447,0.0
AL_247,AL_279,0.9446,0.0
AL_211,AL_247,0.9446,0.0
AL_194,AL_199,0.9446,0.0
AL_190,AL_194,0.9446,0.0
AL_19,AL_23,0.9446,0.0
AL_219,AL_247,0.9445,0.0
AL_211,AL_279,0.9445,0.0
AL_230,AL_271,0.9445,0.0
AL_255,AL_260,0.9445,0.0
AL_266,AL_271,0.9444,0.0
AL_239,AL_260,0.9444,0.0
AL_239,AL_275,0.9444,0.0
AL_190,AL_260,0.9444,0.0
AL_194,AL_219,0.9444,0.0
AL_271,AL_291,0.9444,0.0
AL_207,AL_266,0.9443,0.0
AL_199,AL_211,0.9443,0.0
AL_226,AL_279,0.9443,0.0
AL_230,AL_235,0.9443,0.0
AL_247,AL_275,0.9442,0.0
AL_207,AL_235,0.9442,0.0
AL_235,AL_260,0.9442,0.0
AL_235,AL_279,0.9442,0.0
AL_17,AL_23,0.9441,0.0
AL_188,AL_230,0.9441,0.0
AL_235,AL_247,0.9441,0.0
AL_230,AL_243,0.9441,0.0
AL_235,AL_262,0.9441,0.0
AL_188,AL_247,0.944,0.0
AL_188,AL_279,0.944,0.0
AL_19,AL_25,0.944,0.0
AL_16,AL_24,0.944,0.0
AL_243,AL_255,0.9439,0.0
AL_230,AL_291,0.9439,0.0
AL_230,AL_262,0.9439,0.0
AL_230,AL_260,0.9438,0.0
AL_207,AL_224,0.9438,0.0
AL_188,AL_190,0.9438,0.0
AL_226,AL_247,0.9438,0.0
AL_230,AL_239,0.9437,0.0
AL_190,AL_283,0.9437,0.0
AL_219,AL_266,0.9437,0.0
AL_190,AL_271,0.9437,0.0
AL_224,AL_235,0.9437,0.0
AL_219,AL_255,0.9436,0.0
AL_16,AL_25,0.9436,0.0
